Monat,Automatisierung: (Weltweit)
2004-01,89
2004-02,100
2004-03,99
2004-04,95
2004-05,92
2004-06,92
2004-07,91
2004-08,88
2004-09,87
2004-10,85
2004-11,84
2004-12,80
2005-01,77
2005-02,80
2005-03,82
2005-04,80
2005-05,79
2005-06,83
2005-07,72
2005-08,69
2005-09,75
2005-10,70
2005-11,69
2005-12,67
2006-01,62
2006-02,68
2006-03,74
2006-04,64
2006-05,65
2006-06,62
2006-07,59
2006-08,61
2006-09,62
2006-10,58
2006-11,60
2006-12,49
2007-01,53
2007-02,55
2007-03,58
2007-04,53
2007-05,55
2007-06,58
2007-07,54
2007-08,54
2007-09,52
2007-10,57
2007-11,52
2007-12,45
2008-01,50
2008-02,50
2008-03,53
2008-04,51
2008-05,51
2008-06,53
2008-07,50
2008-08,47
2008-09,55
2008-10,51
2008-11,49
2008-12,48
2009-01,44
2009-02,49
2009-03,49
2009-04,48
2009-05,49
2009-06,50
2009-07,46
2009-08,46
2009-09,48
2009-10,47
2009-11,47
2009-12,43
2010-01,48
2010-02,58
2010-03,50
2010-04,48
2010-05,52
2010-06,55
2010-07,44
2010-08,43
2010-09,46
2010-10,42
2010-11,44
2010-12,45
2011-01,53
2011-02,52
2011-03,43
2011-04,45
2011-05,46
2011-06,53
2011-07,41
2011-08,41
2011-09,48
2011-10,39
2011-11,44
2011-12,43
2012-01,50
2012-02,46
2012-03,42
2012-04,45
2012-05,46
2012-06,54
2012-07,40
2012-08,38
2012-09,46
2012-10,39
2012-11,43
2012-12,39
2013-01,56
2013-02,47
2013-03,38
2013-04,45
2013-05,45
2013-06,56
2013-07,39
2013-08,37
2013-09,43
2013-10,37
2013-11,44
2013-12,41
2014-01,60
2014-02,47
2014-03,39
2014-04,48
2014-05,46
2014-06,52
2014-07,39
2014-08,37
2014-09,47
2014-10,40
2014-11,50
2014-12,47
2015-01,68
2015-02,49
2015-03,41
2015-04,54
2015-05,52
2015-06,61
2015-07,39
2015-08,39
2015-09,47
2015-10,39
2015-11,48
2015-12,48
2016-01,73
2016-02,52
2016-03,40
2016-04,54
2016-05,57
2016-06,63
2016-07,36
2016-08,37
2016-09,46
2016-10,43
2016-11,46
2016-12,43
2017-01,62
2017-02,50
2017-03,46
2017-04,57
2017-05,56
2017-06,60
2017-07,42
2017-08,44
2017-09,52
2017-10,46
2017-11,56
2017-12,48
2018-01,61
2018-02,46
2018-03,43
2018-04,49
2018-05,48
2018-06,47
2018-07,42
2018-08,40
2018-09,41
2018-10,42
2018-11,47
2018-12,42
2019-01,50
2019-02,50
2019-03,43
2019-04,50
2019-05,48
2019-06,54
2019-07,48
2019-08,45
2019-09,55
2019-10,51
2019-11,55
2019-12,51
2020-01,60
2020-02,54
2020-03,43
2020-04,42
2020-05,45
2020-06,52
2020-07,50
2020-08,44
2020-09,52
2020-10,47
2020-11,39
2020-12,44
2021-01,43
2021-02,43
2021-03,43
2021-04,44
2021-05,47
2021-06,51
2021-07,46
2021-08,43
2021-09,48
2021-10,46
2021-11,48
2021-12,46
2022-01,58
2022-02,59
2022-03,59
2022-04,57
2022-05,57
2022-06,63
2022-07,61
2022-08,62
2022-09,69
2022-10,64
2022-11,63
2022-12,57
2023-01,62
2023-02,64
2023-03,71
2023-04,65
2023-05,77
2023-06,67
2023-07,62
2023-08,62
2023-09,62
2023-10,65
2023-11,63
2023-12,57
2024-01,62
2024-02,67
2024-03,64
2024-04,63
2024-05,61
2024-06,58
2024-07,63
2024-08,60
