Monat,Holzbau: (Weltweit)
2004-01,100
2004-02,97
2004-03,90
2004-04,81
2004-05,85
2004-06,86
2004-07,83
2004-08,80
2004-09,80
2004-10,85
2004-11,87
2004-12,68
2005-01,88
2005-02,80
2005-03,82
2005-04,85
2005-05,75
2005-06,86
2005-07,75
2005-08,74
2005-09,69
2005-10,70
2005-11,76
2005-12,66
2006-01,80
2006-02,76
2006-03,77
2006-04,69
2006-05,72
2006-06,65
2006-07,67
2006-08,69
2006-09,70
2006-10,65
2006-11,63
2006-12,56
2007-01,64
2007-02,65
2007-03,70
2007-04,64
2007-05,64
2007-06,67
2007-07,69
2007-08,61
2007-09,59
2007-10,64
2007-11,60
2007-12,51
2008-01,64
2008-02,66
2008-03,63
2008-04,65
2008-05,59
2008-06,62
2008-07,59
2008-08,56
2008-09,61
2008-10,60
2008-11,50
2008-12,49
2009-01,57
2009-02,63
2009-03,60
2009-04,55
2009-05,56
2009-06,58
2009-07,53
2009-08,50
2009-09,53
2009-10,53
2009-11,54
2009-12,43
2010-01,50
2010-02,56
2010-03,58
2010-04,52
2010-05,52
2010-06,57
2010-07,46
2010-08,47
2010-09,45
2010-10,45
2010-11,47
2010-12,37
2011-01,49
2011-02,49
2011-03,50
2011-04,49
2011-05,48
2011-06,48
2011-07,43
2011-08,42
2011-09,44
2011-10,41
2011-11,44
2011-12,34
2012-01,46
2012-02,46
2012-03,48
2012-04,49
2012-05,43
2012-06,47
2012-07,46
2012-08,41
2012-09,44
2012-10,46
2012-11,42
2012-12,34
2013-01,43
2013-02,44
2013-03,44
2013-04,47
2013-05,45
2013-06,44
2013-07,43
2013-08,40
2013-09,42
2013-10,43
2013-11,43
2013-12,35
2014-01,45
2014-02,47
2014-03,43
2014-04,43
2014-05,43
2014-06,41
2014-07,42
2014-08,38
2014-09,43
2014-10,43
2014-11,40
2014-12,36
2015-01,42
2015-02,43
2015-03,43
2015-04,43
2015-05,42
2015-06,43
2015-07,42
2015-08,39
2015-09,42
2015-10,41
2015-11,41
2015-12,34
2016-01,42
2016-02,44
2016-03,44
2016-04,49
2016-05,45
2016-06,44
2016-07,40
2016-08,37
2016-09,41
2016-10,40
2016-11,36
2016-12,29
2017-01,37
2017-02,37
2017-03,37
2017-04,36
2017-05,36
2017-06,40
2017-07,38
2017-08,36
2017-09,37
2017-10,41
2017-11,41
2017-12,37
2018-01,40
2018-02,43
2018-03,40
2018-04,40
2018-05,39
2018-06,40
2018-07,39
2018-08,38
2018-09,39
2018-10,38
2018-11,36
2018-12,34
2019-01,40
2019-02,39
2019-03,41
2019-04,39
2019-05,37
2019-06,39
2019-07,40
2019-08,36
2019-09,36
2019-10,39
2019-11,40
2019-12,37
2020-01,41
2020-02,41
2020-03,34
2020-04,36
2020-05,40
2020-06,42
2020-07,40
2020-08,37
2020-09,39
2020-10,37
2020-11,38
2020-12,35
2021-01,41
2021-02,45
2021-03,42
2021-04,41
2021-05,40
2021-06,38
2021-07,35
2021-08,33
2021-09,37
2021-10,39
2021-11,39
2021-12,34
2022-01,38
2022-02,40
2022-03,37
2022-04,34
2022-05,36
2022-06,38
2022-07,34
2022-08,33
2022-09,34
2022-10,33
2022-11,32
2022-12,30
2023-01,36
2023-02,37
2023-03,38
2023-04,37
2023-05,39
2023-06,38
2023-07,37
2023-08,37
2023-09,39
2023-10,41
2023-11,41
2023-12,35
2024-01,43
2024-02,42
2024-03,41
2024-04,41
2024-05,43
2024-06,45
2024-07,42
2024-08,36
