Monat,Massivholz: (Weltweit)
2004-01,23
2004-02,20
2004-03,17
2004-04,15
2004-05,12
2004-06,17
2004-07,16
2004-08,22
2004-09,16
2004-10,18
2004-11,17
2004-12,17
2005-01,17
2005-02,17
2005-03,18
2005-04,21
2005-05,18
2005-06,17
2005-07,15
2005-08,18
2005-09,18
2005-10,16
2005-11,18
2005-12,15
2006-01,24
2006-02,17
2006-03,17
2006-04,15
2006-05,15
2006-06,14
2006-07,16
2006-08,18
2006-09,21
2006-10,19
2006-11,18
2006-12,20
2007-01,22
2007-02,18
2007-03,19
2007-04,16
2007-05,16
2007-06,16
2007-07,16
2007-08,17
2007-09,19
2007-10,17
2007-11,19
2007-12,15
2008-01,23
2008-02,19
2008-03,19
2008-04,18
2008-05,14
2008-06,16
2008-07,16
2008-08,15
2008-09,17
2008-10,16
2008-11,17
2008-12,15
2009-01,20
2009-02,20
2009-03,20
2009-04,16
2009-05,17
2009-06,19
2009-07,24
2009-08,21
2009-09,23
2009-10,23
2009-11,26
2009-12,24
2010-01,28
2010-02,25
2010-03,22
2010-04,23
2010-05,21
2010-06,19
2010-07,19
2010-08,17
2010-09,20
2010-10,18
2010-11,19
2010-12,16
2011-01,21
2011-02,20
2011-03,18
2011-04,17
2011-05,18
2011-06,16
2011-07,16
2011-08,16
2011-09,16
2011-10,18
2011-11,19
2011-12,16
2012-01,20
2012-02,21
2012-03,18
2012-04,19
2012-05,18
2012-06,18
2012-07,19
2012-08,17
2012-09,20
2012-10,21
2012-11,20
2012-12,18
2013-01,22
2013-02,22
2013-03,22
2013-04,21
2013-05,20
2013-06,19
2013-07,19
2013-08,19
2013-09,21
2013-10,22
2013-11,22
2013-12,20
2014-01,27
2014-02,24
2014-03,23
2014-04,21
2014-05,21
2014-06,20
2014-07,20
2014-08,22
2014-09,24
2014-10,23
2014-11,25
2014-12,20
2015-01,27
2015-02,25
2015-03,24
2015-04,23
2015-05,22
2015-06,21
2015-07,21
2015-08,23
2015-09,24
2015-10,24
2015-11,24
2015-12,22
2016-01,31
2016-02,32
2016-03,27
2016-04,26
2016-05,26
2016-06,22
2016-07,23
2016-08,23
2016-09,27
2016-10,28
2016-11,68
2016-12,71
2017-01,86
2017-02,79
2017-03,71
2017-04,72
2017-05,77
2017-06,78
2017-07,92
2017-08,89
2017-09,86
2017-10,85
2017-11,94
2017-12,81
2018-01,92
2018-02,92
2018-03,88
2018-04,85
2018-05,83
2018-06,87
2018-07,89
2018-08,83
2018-09,61
2018-10,41
2018-11,36
2018-12,31
2019-01,39
2019-02,33
2019-03,28
2019-04,31
2019-05,32
2019-06,34
2019-07,50
2019-08,47
2019-09,46
2019-10,54
2019-11,62
2019-12,56
2020-01,65
2020-02,60
2020-03,50
2020-04,52
2020-05,60
2020-06,60
2020-07,71
2020-08,65
2020-09,76
2020-10,66
2020-11,62
2020-12,57
2021-01,60
2021-02,55
2021-03,53
2021-04,49
2021-05,51
2021-06,52
2021-07,55
2021-08,55
2021-09,42
2021-10,39
2021-11,42
2021-12,35
2022-01,56
2022-02,53
2022-03,44
2022-04,38
2022-05,30
2022-06,29
2022-07,30
2022-08,32
2022-09,33
2022-10,41
2022-11,44
2022-12,40
2023-01,52
2023-02,47
2023-03,88
2023-04,90
2023-05,100
2023-06,80
2023-07,84
2023-08,72
2023-09,54
2023-10,39
2023-11,39
2023-12,30
2024-01,34
2024-02,34
2024-03,31
2024-04,32
2024-05,42
2024-06,57
2024-07,47
2024-08,71
