Monat,IKEA: (Weltweit)
2004-01,34
2004-02,27
2004-03,28
2004-04,29
2004-05,27
2004-06,29
2004-07,34
2004-08,41
2004-09,39
2004-10,36
2004-11,38
2004-12,35
2005-01,41
2005-02,38
2005-03,36
2005-04,36
2005-05,34
2005-06,37
2005-07,45
2005-08,48
2005-09,47
2005-10,44
2005-11,46
2005-12,45
2006-01,51
2006-02,47
2006-03,45
2006-04,44
2006-05,45
2006-06,42
2006-07,52
2006-08,67
2006-09,64
2006-10,59
2006-11,58
2006-12,56
2007-01,64
2007-02,58
2007-03,56
2007-04,50
2007-05,53
2007-06,53
2007-07,62
2007-08,70
2007-09,65
2007-10,59
2007-11,59
2007-12,54
2008-01,63
2008-02,58
2008-03,56
2008-04,54
2008-05,50
2008-06,52
2008-07,58
2008-08,66
2008-09,77
2008-10,57
2008-11,61
2008-12,58
2009-01,63
2009-02,59
2009-03,55
2009-04,51
2009-05,54
2009-06,51
2009-07,60
2009-08,69
2009-09,70
2009-10,63
2009-11,63
2009-12,57
2010-01,63
2010-02,58
2010-03,52
2010-04,50
2010-05,54
2010-06,52
2010-07,56
2010-08,65
2010-09,68
2010-10,62
2010-11,61
2010-12,55
2011-01,71
2011-02,60
2011-03,58
2011-04,54
2011-05,55
2011-06,57
2011-07,63
2011-08,69
2011-09,66
2011-10,62
2011-11,61
2011-12,61
2012-01,65
2012-02,60
2012-03,57
2012-04,58
2012-05,52
2012-06,54
2012-07,58
2012-08,63
2012-09,66
2012-10,56
2012-11,59
2012-12,63
2013-01,62
2013-02,60
2013-03,60
2013-04,53
2013-05,50
2013-06,50
2013-07,57
2013-08,63
2013-09,61
2013-10,56
2013-11,60
2013-12,59
2014-01,61
2014-02,58
2014-03,54
2014-04,53
2014-05,52
2014-06,52
2014-07,60
2014-08,67
2014-09,63
2014-10,59
2014-11,61
2014-12,58
2015-01,64
2015-02,57
2015-03,58
2015-04,59
2015-05,56
2015-06,50
2015-07,58
2015-08,65
2015-09,60
2015-10,66
2015-11,63
2015-12,61
2016-01,58
2016-02,55
2016-03,52
2016-04,51
2016-05,50
2016-06,50
2016-07,53
2016-08,59
2016-09,57
2016-10,58
2016-11,70
2016-12,66
2017-01,72
2017-02,69
2017-03,67
2017-04,66
2017-05,63
2017-06,62
2017-07,77
2017-08,79
2017-09,80
2017-10,77
2017-11,79
2017-12,75
2018-01,84
2018-02,75
2018-03,73
2018-04,66
2018-05,66
2018-06,66
2018-07,70
2018-08,82
2018-09,76
2018-10,73
2018-11,78
2018-12,74
2019-01,80
2019-02,69
2019-03,71
2019-04,72
2019-05,72
2019-06,65
2019-07,73
2019-08,83
2019-09,80
2019-10,73
2019-11,89
2019-12,78
2020-01,88
2020-02,83
2020-03,63
2020-04,73
2020-05,100
2020-06,91
2020-07,94
2020-08,89
2020-09,91
2020-10,84
2020-11,91
2020-12,84
2021-01,88
2021-02,77
2021-03,76
2021-04,71
2021-05,73
2021-06,62
2021-07,64
2021-08,69
2021-09,61
2021-10,58
2021-11,60
2021-12,59
2022-01,72
2022-02,61
2022-03,58
2022-04,58
2022-05,54
2022-06,52
2022-07,59
2022-08,59
2022-09,54
2022-10,57
2022-11,56
2022-12,50
2023-01,54
2023-02,43
2023-03,33
2023-04,31
2023-05,29
2023-06,28
2023-07,33
2023-08,36
2023-09,34
2023-10,33
2023-11,33
2023-12,29
2024-01,32
2024-02,29
2024-03,26
2024-04,22
2024-05,19
2024-06,21
2024-07,25
2024-08,27
2024-09,27
2024-10,24
2024-11,25
2024-12,26
